year,month,SF,Psaf,SPI3,SFp,Px,Px0,SFx0,Px1,SFx1,Px2,SFx2,Px3,SFx3,Px4,SFx4,Px5,SFx5,Px6,SFx6,Px7,SFx7,Px8,SFx8,Px9,SFx9,Px10,SFx10,Px11,SFx11,Px12,SFx12,Px13,SFx13,Px14,SFx14,Px15,SFx15,Px16,SFx16,Px17,SFx17,Px18,SFx18,Px19,SFx19,Px20,SFx20,Px21,SFx21,Px22,SFx22,Px23,SFx23,Px24,SFx24,SFx
2004,3,409.489344,340.2180191217001,0.03610000875006759,362.7963468031835,399.737511814451,560.9704588283721,525.8223836397796,305.1213255503678,370.13216416800503,331.0451846552818,366.5931522100531,411.6776200324266,466.5687591794518,400.31616560554323,433.7036670378754,384.9769068054077,367.7457084243076,360.0880860254371,373.8191613509881,376.50523098538054,380.92190475667024,511.7210278484156,481.23543433795214,405.9621680174143,395.1741097701639,401.36365225704765,402.0106013049643,372.60437008494506,383.93526822292733,533.4521282650061,551.8644629153247,326.0393675343367,350.37801697724115,419.4252110383501,390.9329940815069,417.0790713290178,467.25863049791155,293.7312950166341,332.7469646740006,267.8263190710355,296.5488862577679,473.7146252465241,510.9132937512946,362.1510062356643,379.8866171005253,491.8005610374797,452.73169382965557,375.1291959644794,376.5830337051996,331.3297316690872,337.9534365030398,409.3239967999854,454.67758706864873,470.0830894576355,453.4459286737674,412.14335441756094
2004,4,366.24873600000006,285.82832893170007,0.7336127043611533,319.92059761371115,405.2954608380971,305.51612056185445,356.90281435755065,328.82961035701237,393.5928176085431,545.5450811170842,616.452506018892,330.97544740385644,349.5134205996654,425.201015453766,406.7321159621868,302.26851071006695,339.22815248228045,469.25956047217005,428.1171401798209,343.4557293534322,389.219123789973,483.85690621609723,577.9741230770342,273.7323013913797,335.4927983768417,366.75139905608546,415.9405812918079,513.2939988063977,494.88189755138666,454.47901250554844,462.298144944525,503.07431941945595,504.65538310095803,311.69533510643896,335.3121554645024,566.0234395947156,563.9511713282096,336.4360448142734,335.2262794201739,350.84344769280426,366.19208224494804,346.2328875178327,346.404191376627,463.63750213067283,472.74324833400703,291.0218675729926,332.1445954508951,596.0847764950048,717.2110271068462,365.2866444573285,407.5387894718444,486.9079019116125,463.1111302016635,371.9776608345436,382.4878021884431,431.7329396771851
2004,5,293.90515200000004,204.73343903870006,0.22474358425000546,242.7008845426796,314.30396843422926,415.1665238809582,405.94590875416145,358.36693190687345,358.4543311686848,197.05773565366528,271.1876867037698,383.3867398714947,373.54285046225846,299.7617286352664,293.6671968486608,356.2764422316943,356.08065277214615,347.3301354640082,327.6000207401856,309.08538351475994,326.8871212199507,355.9671622476812,421.2214190893667,362.9184312277135,385.98413259478923,263.81387023281695,276.45738196475133,305.3444616036888,302.5104371117381,293.9600289068436,327.44722533920987,359.25117340675087,350.30564250118385,332.06935075597715,318.8446451853606,206.65814141031933,270.87186876247347,244.1135338410402,301.1448430636133,247.25247480132163,273.504078830755,418.47089368374895,396.31024675417336,276.47291470794966,333.6532866846296,298.3605353105767,309.69285114536416,293.8965180762717,297.4367048171816,276.2655227232712,320.0362242798074,329.92219828084586,328.73983788892957,316.28239531361066,322.9989559964382,330.02102202718334
2004,6,204.80860800000005,147.1942348787,-0.9045594376187955,155.53678409714607,223.78625180264507,190.0987973587125,187.83231027612865,205.8483126930501,177.31725024221709,231.0645022134111,206.47045286246137,231.80610388777635,192.67856724296868,201.584354072243,172.3917617739552,165.6236373223693,164.22055955461687,217.61655277673398,186.98004134807033,138.22824490687177,149.8711817058315,342.58440955385385,291.5174212884055,328.55107507589173,272.79053645028415,180.87169573283188,169.49960374894863,185.89383364934676,176.27142680698458,190.20193028206077,185.97098034824901,124.93695085042651,140.51587748343428,238.21575142544737,204.72156350882133,126.50502988295015,140.62652836338188,142.78024599528405,154.22408521847325,326.2404818869278,263.36396626726486,308.6021205457845,257.18975368098467,244.2225065229403,212.58178588588265,339.7464915384902,271.5116553626627,216.43922047509528,191.7911214505217,314.72209581670324,247.3280229207272,239.18314191372926,206.2791659414083,163.088808687195,168.03587682544241,199.67925986232507
2004,7,102.11184,131.38294927970003,-0.9975959345107942,105.15772255388555,180.2900970555417,229.5649696343387,148.80149276186683,229.89816129046193,146.89457177434383,203.84932624606031,129.6967370174815,212.36316952238525,151.94580644853735,130.27299710253556,101.110074163069,201.4468227143695,149.28699635353004,159.4588140603448,108.0434229276446,211.36024409282098,176.8693804112094,132.6133526965948,109.94782626441052,133.87898272548603,113.5206859815618,128.5506417888717,98.92992128989086,187.28997066413237,131.0820172826407,181.0051674073766,124.75668781181984,192.60392043950958,133.11813441025893,166.3006686603262,128.36770780477937,191.25318527155903,134.93638184754712,214.88132677174968,165.2388841726512,281.09141135921277,293.4324443748522,189.8254557219576,122.9673825531631,175.8967314573379,123.96842130932214,96.34470422384581,85.85170153069481,243.51728309075202,175.98783666588963,67.65552571652194,75.21306934002766,81.10720295538947,73.74006486833837,222.77676411305558,139.79247335192957,133.7400049086984
2004,8,47.79388799999999,72.134042677,-0.6922291531554249,58.815622014750275,147.91374758691956,78.71570200890787,60.03622444612479,111.56068736578976,73.4238060508223,122.30234378129975,76.0208810336722,197.65338546223848,118.51372314799774,267.01051052707624,184.42990498561608,108.58204569376684,80.47046609845461,215.58577631416776,130.11803630073442,112.52379757883091,79.76556241084957,209.27197514384832,124.40336524138763,86.03416952729009,68.15414200221446,144.71292809414908,120.89988743157349,152.3082773760462,104.64115469695778,288.97265509704636,276.64943582214903,192.36362844210115,113.78072407289693,133.85021081022072,82.80345578197024,94.7195905938869,71.74044008772485,138.65752601028265,84.15292136824206,121.9732756562496,77.48002540425851,268.1839725701095,201.92093957200763,92.23760115957216,67.11864737880991,109.13960051077966,72.01330636866798,116.98906694604003,77.48483405737146,85.47340506501034,62.7083271522983,187.5022629882023,129.45875174489908,57.26153448473485,53.913091053898945,103.684082148464
2004,9,21.875615999999994,32.286042961999996,-0.4962394819620871,25.146633509680495,99.17874954624054,186.23349165125325,184.86716233244573,53.94027557332427,31.017341488375628,120.78079457587845,66.37144629995805,86.39064212897652,43.55865246793071,56.24466339411156,31.73398036649472,16.350387497664773,21.568695131370568,34.73303468778043,25.743597609552154,49.51954121622155,29.698474189969343,92.94551227961804,46.93297638287399,114.84676437576664,61.378995896738296,194.08008703899998,212.8325047511961,183.520300874459,176.215061978441,59.13791692734568,32.664133535293104,117.76228306211624,63.76365631412958,99.73419117920145,50.83773247820817,98.62710378653176,50.16986337930338,48.45717371066044,29.3918699837022,57.165898872882536,32.02638993564527,94.3269007786291,47.69175224245986,114.63552830176758,61.211118982652884,77.84981836582196,39.65986147199738,131.42577400664868,76.84184204041479,86.69753694176735,43.70875175833052,77.24144344511207,39.40128680661811,189.8150166087497,197.06423525407808,67.85405532312717
2004,10,146.428128,214.1627579227,-0.22180770626328125,188.63637279609583,365.74157027782553,264.84281451333817,212.16304444262002,429.80779687936774,369.80732521345175,314.19122569183133,245.02387531405896,354.16042235057955,266.27025299725545,507.0979502281318,497.4223906457168,466.759288481628,361.6506502894124,393.6202518881341,301.7165386655965,241.47759714475106,205.19375644534415,461.01937653360164,334.2631291429145,281.0812748622128,230.08365743086415,428.1341506939383,323.9754581996175,337.41989367938226,286.99465842610573,508.6134004790176,373.27377337543237,271.4045797699622,212.62114026693507,281.75104270593977,228.8811758240961,206.37803103468113,177.96758105795507,243.67255119017972,201.36060442473786,313.9846931775443,251.4177203229295,247.58326673335995,205.17117615486666,472.8423880714962,490.7112232138374,402.6020203810282,298.6182426988266,519.2688496719868,414.31496082441777,475.1755095439353,472.1412441417229,269.1559824880557,220.18999862028812,369.5659116912701,318.45875045467386,299.98769314374704
2004,11,183.356352,186.87490353770005,-1.0270440364393054,189.51089488840407,419.4333502341788,402.5775083556168,315.8044179607166,431.10480079162653,394.451949004782,617.9270340748942,522.0223454687913,397.4558523985831,330.45346469010974,334.4597178069336,301.71420045053605,345.1883728022747,292.6768664417846,474.1209167156934,489.9491111013989,232.71407490168104,220.8266001831036,485.4923064895373,384.6587081646855,440.31858461956153,394.05304704193946,372.49891272702183,341.43276964064574,367.135700600487,329.234479684194,331.9422365003754,290.765314219364,412.3953434815056,374.3478410029668,442.9675035405527,355.58719465851823,462.24164776050935,375.3636817475611,484.5387221450062,428.8395012288698,523.8708613756143,473.4297386581548,472.07961433450066,388.0278316995313,318.51459677522456,289.6754203933592,507.5813456394085,419.7346005555984,440.03470583776806,363.46200727110596,393.0076011123402,324.5514042471075,368.0107807017455,304.46499034859573,427.65501436600795,372.0096073527599,363.10148372864717
2004,12,213.496128,239.38981791770001,-1.0000692523627603,242.41535406650422,338.6812225135639,200.21928832284436,233.44251289485368,416.29439300566025,387.3253562180508,491.9381000808712,435.121691289841,237.03601396087146,233.93766989449577,278.2873787499225,262.78417119326645,359.068332013074,376.3641211947424,211.27253410341626,244.1950272330332,496.279756802434,486.86049108719254,429.5322511036709,366.49310747462613,467.79257793387916,409.1291004202275,402.0582300128035,359.33177210076906,326.6376900001162,295.17460144141404,308.56403753138125,266.26827911829395,206.35653959833007,232.12410058899206,351.3893537295919,359.4439311746367,300.870721504595,293.6693503723174,333.6511750024478,302.299363084991,285.04026629508746,273.22076318938286,449.7227602787362,438.76520885907183,257.2290522076339,271.82927799315706,324.83035985719715,329.0836785594383,298.7227259153302,287.67299782361124,276.4917584150941,288.9014684226317,316.488920031954,297.1531079413238,441.25634638215536,390.8937400185766,324.8593955835575
2005,1,223.592832,235.01637456470002,-1.7560793205948875,256.74487014802514,338.4248434711991,360.63271205977327,370.01511096134163,281.6477553548682,306.7330024902651,471.5913870245208,429.706904717985,198.20383639801102,230.46317690507362,372.0033442433881,484.0879478338643,261.78765359955815,287.48135469840037,294.6085308241298,291.9479232881911,238.09284734093035,255.86433198056537,387.5559111566367,359.38615958098575,335.9164286054545,341.38361968392337,363.9957470430112,347.8603258222972,410.3639131883044,377.3371888547137,484.63222568013566,454.7348485879853,336.4542674981832,329.56681814095134,291.5112547178292,302.3927434255132,345.17276428108534,370.1783034906034,243.39367680667675,268.97589165792976,383.06830888613973,354.99413162602843,288.72763238423397,298.12645020776927,387.3596198282257,391.0973091015658,301.7112621697683,314.1690063332051,290.1240960028624,294.49520517609477,410.1751235900655,395.4811051234314,378.8330548774781,422.6123017013492,343.0577332187075,328.2577864102789,344.2939579120125
2005,2,232.758144,276.6918747120001,-1.4144379304648542,280.5590307563541,382.2329593255067,492.15182206758305,469.5905598070806,350.9825484908407,352.12658787639714,328.0548451367306,358.4941707123192,331.992976518579,334.83400930446436,402.9826220226352,413.805227740105,365.8168898350341,358.90193056674804,401.3485637505774,361.6352313994898,283.3645953815804,315.1910711811719,545.183422284171,581.4252855209037,351.64708435125493,328.7411362887387,237.80181712157207,265.71701255858653,382.34909557315785,347.3323013812163,370.89988133555767,380.9213863991624,405.1766794023663,406.97218855841203,423.60236713303783,462.6491214721892,515.6946874347651,515.664104453397,299.7945088424891,302.96962986897665,393.68587622574296,373.5880686030671,421.35079629668036,425.59422661734726,430.85496430420494,422.5381013785232,500.7043953814556,513.1330378510785,332.07971324955605,343.9236391654639,352.6131993566427,328.7931796553068,421.96360628826227,418.3894329447119,213.72702535319158,231.11526743083073,384.5618363494275
2005,3,233.397504,315.879729918,-1.8383062509922992,277.7027018258123,369.4497451760296,497.66278220983634,462.711141982052,256.0297619645755,201.66777259858048,451.90346314244573,388.2185362818899,377.9857107027734,362.2812795629463,308.2016558497123,286.573057953339,362.91896255252334,326.4026441720712,452.2283733783755,396.41576586902016,387.7295834432866,441.9142931219136,315.59221748903883,279.1192580330887,435.8251867390367,378.6422432830416,371.2974256591946,361.2141316317482,309.56223555379484,281.0997655619122,327.18079838102045,279.6600563698051,350.99973745514876,272.18006383119666,349.05379200918856,314.4700356515885,365.93772333110155,362.594424372004,459.32016844013685,483.1976973660936,238.72308387815337,217.7182145830495,366.97231384701274,339.88500401729954,302.15629886079915,262.0262002741771,399.48137694234384,393.3674039558982,432.65709674157074,393.51610063596365,360.0613655604859,310.5989308096059,359.6901580294061,320.7335775445101,397.07235723977715,405.4854680591863,340.86772270087926
2005,4,215.384832,296.367998306,-2.024658681763027,257.79620301003774,381.80470559630373,371.85715134461793,353.6461371833004,306.672783650003,307.9384515265372,422.14947604961446,348.25322588017673,383.9936425747849,373.7535719670319,343.0955818119521,356.4545757393701,363.32915529472535,296.55460725130615,380.562340971413,332.0741950954303,276.1109563077589,270.2847669616163,389.87399561260065,315.0754231221804,443.6189007066845,410.79200059446003,403.1892403521494,375.5547655936892,427.8400374191592,395.4895719240121,307.4420328131429,277.6948377158341,468.9388257383328,406.05641552356417,561.1355678065139,470.36914724766825,356.29781674334276,297.7020732857121,243.9022621752921,236.71257494494822,328.82329796387876,299.786364272669,443.6574283424612,368.9967886447064,371.9629679495672,337.1674698023588,430.20273499366135,374.74643349269866,452.7259979858619,466.8223954770856,250.1969080853403,218.10259883982914,289.60452698727045,254.03367489962554,527.9340102274638,459.4154043132363,344.1390988519619
2005,5,183.896352,255.13424305900003,-1.2240943726769997,229.2732814181437,259.7007229870321,125.36937125617314,150.8132903967366,434.21974432540253,354.6735379611585,238.45595428244798,233.84116272231282,247.38252377584337,199.474278892436,281.0549614963657,251.34983980151463,285.1350893715329,246.0150351862392,233.3598747032072,186.05874016354875,125.87137038205618,150.77106801304728,310.79709183007174,255.40595933184446,231.1041696823107,178.81972649579072,272.14407881461864,232.8813080321418,200.51822775532224,176.91265882818334,223.69727367261896,220.95644295565268,272.22433561634506,275.1132776087163,279.15278457782273,262.7362475595932,225.74155154726697,233.17860842461133,312.77781898660123,244.66040167239277,258.83429017398726,224.96217666904354,384.1752615208952,397.01245615215777,294.92435217183714,239.20043760740168,219.6776522661789,195.97363481013076,319.87048421081016,245.710963254143,230.388512888616,213.26389578043774,224.43702597803446,197.93512854478814,178.61441438682172,179.38519229353915,229.8842187663025
2005,6,116.970912,186.10312822699998,-0.4456327469088994,168.7481989915523,188.6102761585369,109.646965304135,127.91007006304204,184.08320239346492,157.22271638061588,262.60555168117475,204.9362334507715,190.38622447716315,169.16252016004867,84.75319875476478,119.58739545362224,176.87209570752273,161.48781520592172,214.0845995011113,177.66105297171785,159.95196522827985,153.62778327364637,163.70957692079696,170.75248694186294,205.8956977770916,187.36549808287424,190.93996441007226,161.19681974952812,180.83247630270694,168.92346852023135,290.21929653166154,235.53326560822052,252.43037935518464,208.84840150178874,256.28489372638023,208.77926446604806,163.99846517276066,153.6584713366428,229.58888980096316,187.38193947986198,166.5332392867225,144.6548128861648,177.19085827133398,161.03272255833267,264.6388602992573,200.54641992640592,124.9330355583669,131.4842902705685,68.73136548806364,110.95088600764863,242.75108461830632,198.1561807755835,251.33835209330553,195.43619842994593,102.85666530283221,120.43598585070811,168.66930797407213
2005,7,61.19366399999999,118.056926471,-0.4938171205065714,81.52134961801264,136.75220703069573,75.22568458802304,68.76476384920241,122.75180728193743,91.52621447418247,171.19132276343825,107.17359545158166,134.77183956706895,97.48596635265548,192.3539612705952,125.62535241954916,153.48085880358764,95.13282754053752,222.57757645244453,145.53481816996455,96.3328734588462,75.03937508780965,62.8533776947709,66.98688566467365,157.5708258814704,96.78404477521156,154.23325251196508,94.01074161155802,152.6791328887089,93.96830632924473,103.90812831814196,76.42832220200373,196.3306186926939,116.77423330014982,96.99840114286158,74.98663564296574,67.99750957930664,67.44567813254777,257.1333428877929,154.85369200313664,114.38352954181988,80.63453320495778,145.66834022115478,94.83423119999853,88.39244644300614,75.40078957427461,136.1543894918383,86.79972629553406,151.19980628081078,97.22215242595313,114.1278631812049,88.91088869939128,126.08573848499566,91.4997256982287,124.40254833890943,83.04017725579692,93.87454709444438
2005,8,34.857215999999994,100.46284392500002,-0.1779988711779994,45.075816360858916,130.84748240707535,161.9071631860822,68.38503822961039,170.62142640423855,76.95222109061235,107.88016660285345,47.230981597622005,108.0898964844063,47.82701284393248,58.10857208674936,33.819923514295226,145.62536021307972,69.08221546491008,165.0214602650713,71.99830398406873,139.42293001356234,59.75051172881308,89.76316740610994,44.286389519374296,154.1115877913973,64.43702313611803,201.52881424254093,94.13028106873428,114.04029527270133,52.46845013870037,121.74256875927287,51.43436000518629,117.03536495946591,54.23524240445922,107.84712057255376,50.15237382300231,185.7772895843529,81.90752025155531,114.66716593907397,54.7341119874669,86.94210804117142,44.03543837623473,119.64990152958046,50.405569668873234,86.16957193243546,42.058341695226495,55.134350588740105,33.924808676901414,165.06989509909636,78.20310692144292,240.94672940428325,179.79586852177667,117.66468987148599,49.65013715256484,136.41946392657854,56.750301061087804,62.30622131450278
2005,9,12.013056,45.592748455,-0.7792695677553684,18.61990946144498,71.73650754735995,70.26689197747667,25.87607998281192,35.066550499326254,16.201236914431085,2.9771715196519537,10.369318983642874,96.03646269690792,37.18778748392893,22.266649066105607,13.642312763531098,33.51085157420306,15.86978767938192,59.3654699853399,22.34550871792354,76.20486839028601,28.068087357166196,137.22579576361247,70.93101363866197,34.184387686083255,16.012532144601554,102.76993294912316,41.08035137958996,147.61771615207422,84.67144648961171,186.80514556297197,172.94322050712486,39.56052472542811,17.194667876171696,31.26917049526208,15.402787339522257,105.95084408681076,43.0920789322939,42.76860488666056,17.93880941481126,137.06277616382835,70.73743564684773,53.09014384417189,20.558503543636252,20.3338920787138,13.2861616492134,99.02847508959522,38.859104178878226,68.49648176903179,25.261649568727762,67.23725861692398,24.83487331670003,67.22687762935438,24.831389608739595,57.08974547505466,21.67867077446551,35.554992635696614
